model,dataset,K,C_V,Purity,NMI,TD_top15,TD_top25
Fast_topic_avec_UMAP,20NG,20,0.4862818570914511,0.3797132235793946,0.5499756946858033,0.9933333333333333,0.99
Fast_topic_avec_UMAP,20NG,50,0.42115016252643867,0.403611258629846,0.5673364119985408,0.9906666666666667,0.9696
Fast_topic_avec_UMAP,20NG,100,0.3799967700722102,0.47809346787041956,0.5783507782836127,0.8893333333333333,0.8264
Fast_topic_avec_UMAP,AGNews,20,0.48141078672907006,0.8464,0.5081885240718089,0.8766666666666667,0.876
Fast_topic_avec_UMAP,AGNews,50,0.5327626303477703,0.8492,0.46789318619410336,0.568,0.5632
Fast_topic_avec_UMAP,AGNews,100,0.4745660123586617,0.8488,0.4668881645853937,0.468,0.4448
Fast_topic_avec_UMAP,IMDB,20,0.2899385846202164,0.70044,0.06703812104913442,0.66,0.644
Fast_topic_avec_UMAP,IMDB,50,0.29531082201579273,0.70124,0.07352217385968798,0.5786666666666667,0.5552
Fast_topic_avec_UMAP,IMDB,100,0.32914334175217347,0.69912,0.07018026477311505,0.512,0.456
Fast_topic_avec_UMAP,YahooAnswer,20,0.5543634437497614,0.5412,0.32869043119268665,0.9333333333333333,0.93
Fast_topic_avec_UMAP,YahooAnswer,50,0.5332058831274322,0.546,0.3341337973440964,0.8386666666666667,0.8064
Fast_topic_avec_UMAP,YahooAnswer,100,0.5283915294960849,0.5532,0.3287670129175666,0.688,0.6416
